Kab/Kota;Jeruk. jeruk bali;Mangga;Apel;Rambutan;Duku. langsat;Durian;Salak;Pisang ambon;Pisang lainnya;Pepaya;Semangka;Tomat buah;Alpokat;Jambu biji;Nanas;Nangka;Pir;Anggur;Buah naga;Jambu air;Melon;Manggis;Kelengkeng;Buahbuahan lainnya
Kota Batam;0.132;0.055;0.044;0.009;0.022;0.012;0.029;0.015;0.133;0.076;0.073;0.005;0.014;0.004;0.008;0.006;0.025;0.026;0.020;0.009;0.007;0.003;0.017;0.004
Kota Tanjung Pinang;0.116;0.038;0.025;0.006;0.030;0.000;0.014;0.023;0.157;0.104;0.065;0.002;0.014;0.002;0.012;0.004;0.013;0.014;0.014;0.010;0.002;0.001;0.017;0.01
Kepulauan Seribu;0.062;0.028;0.013;0.112;0.129;0.017;0.025;0.057;0.022;0.041;0.024;0.002;0.028;0.001;0.000;0.001;0.013;0.016;0.038;0.000;0.012;0.012;0.018;0.007
Kota Jakarta Selatan;0.097;0.012;0.031;0.082;0.083;0.014;0.031;0.101;0.038;0.141;0.044;0.010;0.032;0.013;0.006;0.001;0.017;0.008;0.035;0.002;0.02;0.018;0.006;0.011
Kota Jakarta Timur;0.115;0.009;0.018;0.085;0.076;0.006;0.026;0.077;0.039;0.118;0.049;0.002;0.021;0.008;0.007;0.003;0.009;0.014;0.034;0.003;0.033;0.007;0.006;0.006
Kota Jakarta Pusat;0.063;0.025;0.011;0.049;0.048;0.002;0.015;0.048;0.014;0.101;0.032;0.005;0.022;0.002;0.002;;0.009;0.014;0.029;0.000;0.012;0.004;0.003;0.001
Kota Jakarta Barat;0.094;0.007;0.022;0.089;0.081;0.010;0.022;0.074;0.038;0.110;0.039;0.006;0.030;0.009;0.006;0.000;0.019;0.011;0.044;0.001;0.023;0.011;0.006;0.006
Kota Jakarta Utara;0.097;0.015;0.027;0.086;0.063;0.007;0.030;0.077;0.049;0.115;0.057;0.001;0.028;0.009;0.011;0.002;0.012;0.023;0.032;0.003;0.035;0.012;0.006;0.004
Bogor;0.078;0.011;0.014;0.167;0.072;0.016;0.042;0.049;0.042;0.054;0.061;0.005;0.027;0.015;0.002;0.001;0.007;0.005;0.021;0.001;0.017;0.004;0.004;0.009
Sukabumi;0.078;0.006;0.013;0.289;0.016;0.034;0.025;0.086;0.087;0.074;0.033;0.004;0.027;0.007;0.003;0.004;0.011;0.008;0.029;0.001;0.011;0.002;0.003;0.005
Cianjur;0.076;0.006;0.012;0.329;0.018;0.014;0.033;0.055;0.120;0.075;0.032;0.002;0.019;0.012;0.004;0.005;0.005;0.005;0.018;0.005;0.008;0.002;0.002;0.007
Bandung;0.077;0.008;0.016;0.251;0.031;0.003;0.023;0.129;0.035;0.062;0.040;0.004;0.019;0.009;0.002;0.005;0.011;0.009;0.035;0.001;0.011;0.002;0.007;0.004
Garut;0.065;0.009;0.012;0.225;0.012;0.003;0.021;0.058;0.150;0.069;0.028;0.008;0.028;0.014;0.003;0.006;0.009;0.004;0.033;0.001;0.006;0.001;0.003;0.007
Tasikmalaya;0.064;0.005;0.015;0.188;0.006;0.002;0.034;0.041;0.127;0.095;0.035;0.003;0.048;0.006;0.006;0.010;0.004;0.010;0.023;0.001;0.006;0;0.002;0.006
Ciamis;0.075;0.004;0.008;0.307;0.027;0.022;0.030;0.065;0.228;0.159;0.033;0.003;0.050;0.010;0.007;0.010;0.006;0.002;0.053;0.002;0.007;;0.008;0.014
Kuningan;0.059;0.004;0.007;0.138;0.016;0.009;0.019;0.073;0.154;0.071;0.017;0.001;0.018;0.006;0.006;0.001;0.007;0.005;0.027;0.002;0.005;0.001;0.001;0.005
Cirebon;0.062;0.003;0.007;0.153;0.033;0.004;0.042;0.061;0.074;0.059;0.025;0.000;0.013;0.005;0.002;0.002;0.010;0.008;0.018;0.001;0.006;0.002;0.004;0.008
Majalengka;0.074;0.001;0.008;0.203;0.011;0.006;0.035;0.080;0.086;0.082;0.036;0.000;0.021;0.013;0.005;0.004;0.013;0.006;0.029;0.001;0.015;0.005;0.01;0.007
Sumedang;0.086;0.009;0.012;0.255;0.027;0.011;0.025;0.111;0.152;0.108;0.026;0.005;0.034;0.010;0.007;0.006;0.008;0.010;0.031;0.004;0.007;0.014;0.006;0.02
Indramayu;0.094;0.002;0.014;0.293;0.052;0.011;0.097;0.045;0.108;0.051;0.043;;0.007;0.004;0.006;0.003;0.009;0.007;0.024;0.002;0.011;0.001;0.018;0
Subang;0.072;0.007;0.005;0.271;0.049;0.003;0.044;0.053;0.048;0.061;0.034;0.002;0.009;0.006;0.016;0.006;0.002;0.006;0.021;0.001;0.012;0.002;0.001;0.004
Purwakarta;0.085;0.005;0.014;0.253;0.034;0.025;0.020;0.047;0.085;0.047;0.047;0.002;0.015;0.003;0.002;0.004;0.012;0.006;0.022;0.001;0.02;0.001;0.003;0.012
Karawang;0.080;0.013;0.006;0.227;0.057;0.007;0.041;0.020;0.042;0.066;0.053;0.002;0.013;0.010;0.002;0.002;0.005;0.007;0.020;0.005;0.015;0.003;0.004;0.004
Bekasi;0.087;0.007;0.019;0.204;0.069;0.027;0.037;0.065;0.050;0.065;0.039;0.003;0.016;0.005;0.004;0.003;0.013;0.012;0.034;0.002;0.012;0.007;0.006;0.002
Bandung Barat;0.062;0.003;0.014;0.296;0.019;0.003;0.022;0.082;0.059;0.056;0.022;0.004;0.024;0.006;0.002;0.005;0.013;0.008;0.027;0.005;0.01;0.003;0.004;0.011
Pangandaran;0.067;0.006;0.015;0.254;0.006;0.005;0.038;0.056;0.158;0.119;0.025;0.002;0.065;0.005;0.015;0.004;0.020;0.008;0.037;0.004;0.006;0;0.013;0.005
Kota Bogor;0.093;0.012;0.018;0.138;0.060;0.020;0.030;0.091;0.051;0.101;0.034;0.004;0.043;0.013;0.004;0.002;0.021;0.009;0.024;0.002;0.017;0.003;0.003;0.006
Kota Sukabumi;0.077;0.010;0.012;0.189;0.011;0.010;0.028;0.084;0.056;0.072;0.030;0.001;0.024;0.006;0.008;0.009;0.012;0.007;0.022;0.001;0.014;0.002;0.003;0.008
Kota Bandung;0.101;0.005;0.019;0.160;0.030;0.011;0.025;0.144;0.023;0.080;0.047;0.003;0.022;0.007;0.006;0.002;0.015;0.010;0.027;0.001;0.013;0.003;0.006;0.006
Kota Cirebon;0.060;0.002;0.011;0.138;0.039;0.011;0.053;0.116;0.057;0.083;0.034;0.003;0.020;0.002;0.013;0.001;0.010;0.008;0.036;0.001;0.012;0;0.005;0.004
Kota Bekasi;0.098;0.007;0.019;0.087;0.072;0.010;0.027;0.089;0.049;0.140;0.052;0.005;0.033;0.012;0.013;0.001;0.024;0.016;0.043;0.000;0.016;0.016;0.009;0.007
Kota Depok;0.104;0.006;0.023;0.084;0.070;0.018;0.027;0.093;0.038;0.090;0.052;0.003;0.037;0.020;0.007;0.000;0.018;0.015;0.035;0.003;0.023;0.006;0.009;0.012
Kota Cimahi;0.094;0.007;0.012;0.176;0.033;0.008;0.024;0.112;0.036;0.065;0.030;0.004;0.023;0.006;0.003;0.002;0.012;0.013;0.029;0.002;0.009;0.004;0.004;0.007
Kota Tasikmalaya;0.069;0.006;0.011;0.211;0.015;0.007;0.037;0.079;0.114;0.116;0.042;0.003;0.059;0.009;0.002;0.005;0.012;0.004;0.030;0.000;0.017;0;0.003;0.004
Kota Banjar;0.081;0.004;0.017;0.424;0.011;0.006;0.054;0.051;0.209;0.228;0.035;0.001;0.072;0.019;0.006;0.007;0.017;0.004;0.049;0.007;0.021;0.001;0.024;0.004
Cilacap;0.065;0.004;0.010;0.123;0.022;0.004;0.025;0.064;0.090;0.106;0.029;0.001;0.012;0.020;0.002;0.004;0.018;0.004;0.038;0.003;0.005;0.001;0.009;0.006
Banyumas;0.060;0.002;0.016;0.248;0.055;0.047;0.035;0.076;0.176;0.095;0.036;0.001;0.021;0.021;0.007;0.006;0.010;0.005;0.020;0.004;0.008;0.007;0.006;0.006
Purbalingga;0.058;0.003;0.013;0.273;0.154;0.056;0.037;0.081;0.121;0.088;0.039;0.000;0.013;0.019;0.015;0.001;0.014;0.005;0.038;0.001;0.01;0.018;0.008;0.005
Banjarnegara;0.053;0.005;0.011;0.272;0.039;0.030;0.044;0.061;0.170;0.067;0.032;0.001;0.021;0.012;0.010;0.013;0.011;0.006;0.026;0.002;0.007;0.006;0.004;0.008
Kebumen;0.066;0.003;0.011;0.217;0.013;0.024;0.032;0.037;0.211;0.119;0.024;0.001;0.021;0.030;0.005;0.004;0.016;0.005;0.050;0.002;0.003;0.008;0.009;0.012
Purworejo;0.078;0.004;0.016;0.110;0.008;0.065;0.038;0.043;0.200;0.093;0.022;0.001;0.031;0.020;0.008;0.002;0.024;0.009;0.021;0.002;0.004;0.02;0.008;0.011
Wonosobo;0.066;0.004;0.010;0.286;0.005;0.028;0.056;0.059;0.173;0.093;0.022;0.003;0.036;0.017;0.020;0.019;0.022;0.004;0.020;0.001;0.003;0.007;0.003;0.01
Magelang;0.058;0.002;0.009;0.223;0.014;0.017;0.034;0.035;0.117;0.092;0.021;0.002;0.025;0.010;0.004;0.006;0.015;0.006;0.012;0.001;0.005;0.008;0.008;0.008
Boyolali;0.071;0.001;0.015;0.126;0.018;0.012;0.017;0.058;0.134;0.071;0.011;0.003;0.055;0.009;0.001;0.000;0.014;0.005;0.023;0.000;0.006;0.003;0.007;0.003
Klaten;0.087;0.004;0.024;0.134;0.027;0.016;0.017;0.061;0.143;0.105;0.032;0.001;0.048;0.012;0.003;0.002;0.025;0.013;0.031;0.001;0.005;0.009;0.015;0.009
Sukoharjo;0.068;0.002;0.010;0.108;0.025;0.006;0.029;0.103;0.082;0.100;0.033;0.001;0.034;0.011;0.003;0.002;0.010;0.004;0.028;0.004;0.006;0.005;0.01;0.009
Wonogiri;0.065;0.002;0.016;0.111;0.007;0.013;0.036;0.041;0.167;0.081;0.011;0.001;0.034;0.010;0.003;0.002;0.016;0.001;0.041;0.000;0.003;0.004;0.002;0.004
Karanganyar;0.070;0.002;0.018;0.141;0.025;0.020;0.046;0.087;0.089;0.102;0.033;0.001;0.051;0.014;0.007;0.002;0.021;0.005;0.026;0.000;0.012;0.008;0.006;0.008
Sragen;0.105;0.003;0.017;0.140;0.020;0.010;0.048;0.067;0.142;0.082;0.058;0.002;0.040;0.015;0.004;0.002;0.028;0.011;0.038;0.002;0.017;0.005;0.014;0.007
Grobogan;0.072;0.001;0.012;0.123;0.019;0.003;0.029;0.018;0.225;0.064;0.035;0.000;0.010;0.008;0.002;0.000;0.015;0.010;0.028;0.001;0.009;0.005;0.011;0.005
Blora;0.055;0.001;0.008;0.181;0.018;0.008;0.032;0.014;0.184;0.045;0.059;0.001;0.009;0.021;0.000;0.001;0.018;0.008;0.036;0.001;0.006;0.005;0.012;0.008
Rembang;0.068;;0.014;0.147;0.030;0.012;0.046;0.006;0.119;0.021;0.045;0.001;0.014;0.008;0.002;0.004;0.020;0.015;0.030;0.004;0.002;0.004;0.012;0.008
Pati;0.115;0.001;0.014;0.111;0.062;0.007;0.050;0.016;0.152;0.068;0.054;0.001;0.023;0.017;0.002;0.003;0.018;0.006;0.043;0.007;0.012;0.005;0.007;0.005
Kudus;0.078;0.003;0.013;0.110;0.034;0.006;0.031;0.018;0.121;0.035;0.028;0.000;0.024;0.010;0.003;0.005;0.019;0.006;0.025;0.003;0.004;0.009;0.011;0.004
Jepara;0.085;0.002;0.011;0.087;0.055;0.004;0.054;0.023;0.129;0.044;0.015;0.000;0.015;0.010;0.004;0.002;0.006;0.006;0.030;0.002;0.004;0.01;0.009;0.006
Demak;0.089;0.009;0.018;0.131;0.031;0.006;0.062;0.052;0.089;0.053;0.034;0.002;0.015;0.018;0.002;0.002;0.009;0.009;0.021;0.000;0.004;0.014;0.008;0.005
Semarang;0.066;0.002;0.017;0.251;0.022;0.039;0.032;0.071;0.152;0.094;0.014;0.004;0.060;0.010;0.005;0.010;0.014;0.003;0.025;0.002;0.013;0.011;0.008;0.005
Temanggung;0.052;0.001;0.006;0.213;0.015;0.014;0.022;0.037;0.172;0.074;0.019;0.000;0.015;0.006;0.005;0.007;0.015;0.003;0.014;;0.004;0.005;0.002;0.006
Kendal;0.057;0.003;0.014;0.155;0.019;0.019;0.023;0.038;0.116;0.051;0.031;0.002;0.033;0.009;0.005;0.006;0.018;0.008;0.021;0.001;0.012;0.008;0.014;0.008
Batang;0.076;0.004;0.009;0.205;0.025;0.033;0.032;0.050;0.105;0.063;0.032;0.000;0.028;0.011;0.008;0.005;0.009;0.008;0.023;0.000;0.01;0.002;0.008;0.003
Pekalongan;0.047;0.006;0.008;0.147;0.019;0.024;0.025;0.062;0.104;0.065;0.038;0.001;0.010;0.005;0.005;0.009;0.004;0.005;0.018;0.001;0.01;0.002;0.007;0.001
Pemalang;0.066;0.002;0.012;0.220;0.035;0.013;0.044;0.036;0.141;0.059;0.028;0.000;0.012;0.018;0.018;0.010;0.015;0.005;0.019;0.001;0.008;0.005;0.008;0.003
Tegal;0.058;0.002;0.009;0.153;0.024;0.002;0.036;0.052;0.114;0.044;0.023;0.001;0.009;0.009;0.003;0.003;0.005;0.004;0.014;0.001;0.006;0.001;0.002;0.005
Brebes;0.071;0.002;0.007;0.161;0.024;0.013;0.025;0.045;0.092;0.045;0.026;0.000;0.007;0.015;0.003;0.003;0.008;0.007;0.024;0.002;0.009;0.003;0.004;0.004
Kota Magelang;0.084;0.009;0.023;0.146;0.020;0.029;0.029;0.077;0.076;0.090;0.037;0.002;0.029;0.007;0.006;0.005;0.021;0.005;0.026;0.005;0.01;0.011;0.006;0.011
Kota Surakarta;0.064;0.003;0.019;0.113;0.025;0.015;0.030;0.098;0.038;0.091;0.038;0.002;0.056;0.010;0.005;0.000;0.009;0.003;0.018;0.001;0.009;0.002;0.003;0.005
Kota Salatiga;0.075;0.000;0.022;0.277;0.020;0.051;0.046;0.110;0.156;0.096;0.018;0.003;0.095;0.010;0.005;0.003;0.016;0.004;0.045;0.001;0.016;0.009;0.013;0.008
Kota Semarang;0.072;0.004;0.022;0.103;0.024;0.010;0.025;0.112;0.086;0.079;0.039;0.003;0.035;0.011;0.006;0.001;0.022;0.011;0.024;0.002;0.017;0.009;0.006;0.011
Kota Pekalongan;0.034;0.004;0.004;0.098;0.012;0.008;0.022;0.040;0.081;0.077;0.042;0.001;0.015;0.007;0.002;0.001;0.004;0.004;0.022;0.000;0.004;0.001;0.006;0.003
Kota Tegal;0.051;0.003;0.010;0.122;0.017;0.003;0.031;0.010;0.116;0.054;0.042;;0.011;0.013;0.006;0.005;0.004;0.004;0.018;0.001;0.012;0.002;0.004;0.004
Kulon Progo;0.080;0.001;0.016;0.096;0.012;0.057;0.033;0.040;0.200;0.074;0.030;0.001;0.022;0.013;0.004;0.001;0.011;0.005;0.035;0.001;0.002;0.031;0.008;0.008
Bantul;0.084;0.002;0.024;0.113;0.035;0.034;0.058;0.040;0.155;0.107;0.043;0.003;0.046;0.021;0.011;0.005;0.023;0.010;0.048;0.003;0.009;0.009;0.011;0.017
Gunung Kidul;0.076;0.000;0.018;0.123;0.017;0.015;0.044;0.030;0.168;0.092;0.032;0.000;0.027;0.009;0.002;0.002;0.012;0.008;0.055;0.000;0.004;0.002;0.005;0.02
Sleman;0.102;0.005;0.031;0.180;0.036;0.044;0.045;0.053;0.139;0.139;0.077;0.003;0.082;0.011;0.009;0.003;0.020;0.012;0.024;0.001;0.011;0.01;0.012;0.011
Kota Yogyakarta;0.083;0.004;0.028;0.091;0.031;0.018;0.040;0.053;0.085;0.104;0.056;0.002;0.046;0.013;0.007;0.003;0.021;0.012;0.038;;0.012;0.007;0.006;0.01
Pacitan;0.059;0.002;0.019;0.113;0.004;0.006;0.025;0.036;0.174;0.083;0.031;0.001;0.047;0.006;0.006;0.008;0.009;0.005;0.024;0.001;0.002;0.002;0.004;0.01
Ponorogo;0.049;0.000;0.020;0.071;0.009;0.004;0.026;0.021;0.151;0.113;0.028;0.002;0.051;0.012;0.003;0.004;0.022;0.004;0.051;0.001;0.002;0.008;0.005;0.018
Trenggalek;0.052;0.002;0.022;0.071;0.010;0.006;0.035;0.023;0.152;0.126;0.045;0.003;0.083;0.007;0.005;0.013;0.025;0.005;0.044;0.000;0.006;0.003;0.005;0.014
Tulungagung;0.045;0.002;0.015;0.067;0.021;0.008;0.034;0.054;0.107;0.122;0.069;0.001;0.092;0.006;0.002;0.005;0.016;0.004;0.068;0.002;0.004;0.004;0.011;0.014
Blitar;0.039;0.004;0.024;0.083;0.006;0.029;0.030;0.063;0.126;0.134;0.075;0.002;0.077;0.016;0.007;0.013;0.027;0.006;0.053;0.001;0.011;0.01;0.009;0.01
Kediri;0.054;0.002;0.020;0.105;0.011;0.018;0.043;0.041;0.124;0.102;0.072;0.001;0.090;0.006;0.022;0.004;0.018;0.009;0.056;0.002;0.004;0.001;0.007;0.013
Malang;0.019;0.001;0.013;0.137;0.004;0.015;0.033;0.062;0.095;0.095;0.031;0.003;0.053;0.007;0.006;0.004;0.012;0.003;0.040;0.001;0.013;0.003;0.004;0.006
Lumajang;0.034;0.006;0.014;0.070;0.021;0.023;0.122;0.045;0.158;0.172;0.087;0.003;0.089;0.012;0.007;0.014;0.008;0.010;0.048;0.006;0.014;0.007;0.016;0.009
Jember;0.028;0.007;0.013;0.076;0.019;0.026;0.071;0.021;0.122;0.078;0.032;0.001;0.067;0.032;0.003;0.006;0.013;0.005;0.021;0.001;0;0.01;0.007;0.011
Banyuwangi;0.032;0.005;0.022;0.053;0.031;0.025;0.079;0.038;0.126;0.127;0.082;0.003;0.079;0.008;0.007;0.009;0.015;0.012;0.045;0.007;0.01;0.008;0.015;0.01
Bondowoso;0.025;0.004;0.007;0.038;0.011;0.015;0.061;0.044;0.092;0.092;0.019;0.003;0.033;0.015;0.003;0.005;0.003;0.004;0.024;0.003;0.002;0.003;0.004;0.015
Situbondo;0.016;0.010;0.008;0.063;0.011;0.013;0.056;0.039;0.104;0.090;0.044;0.005;0.027;0.012;0.003;0.005;0.005;0.029;0.028;0.003;0.009;0;0.02;0.024
Probolinggo;0.017;0.003;0.015;0.067;0.025;0.018;0.085;0.010;0.132;0.056;0.028;0.002;0.082;0.009;0.004;0.006;0.006;0.005;0.020;0.002;0.006;0.008;0.009;0.02
Pasuruan;0.026;0.001;0.016;0.171;0.017;0.033;0.103;0.026;0.115;0.045;0.029;0.002;0.089;0.006;0.004;0.013;0.003;0.006;0.037;;0.012;0.004;0.007;0.004
Sidoarjo;0.048;0.004;0.017;0.074;0.030;0.008;0.047;0.025;0.108;0.092;0.086;0.004;0.069;0.006;0.005;0.004;0.010;0.008;0.045;0.001;0.02;0.003;0.006;0.007
Mojokerto;0.046;0.001;0.017;0.134;0.041;0.021;0.061;0.030;0.123;0.083;0.043;0.001;0.068;0.005;0.004;0.006;0.010;0.017;0.050;0.000;0.023;0.005;0.007;0.009
Jombang;0.026;0.000;0.009;0.090;0.013;0.019;0.059;0.019;0.152;0.056;0.028;0.001;0.043;0.004;0.003;0.002;0.010;0.008;0.051;0.000;0.008;0.002;0.004;0.007
Nganjuk;0.046;0.004;0.014;0.088;0.006;0.008;0.053;0.025;0.151;0.091;0.029;0.001;0.030;0.009;0.003;0.004;0.017;0.005;0.059;0.001;0.008;0.002;0.003;0.015
Madiun;0.057;0.001;0.015;0.168;0.021;0.055;0.040;0.013;0.149;0.106;0.037;0.002;0.034;0.008;0.004;0.005;0.021;0.009;0.035;0.000;0.01;0.013;0.004;0.017
Magetan;0.084;0.001;0.017;0.100;0.010;0.013;0.033;0.026;0.178;0.114;0.049;0.002;0.048;0.009;0.004;0.001;0.015;0.004;0.052;0.002;0.011;0.006;0.003;0.008
Ngawi;0.066;0.000;0.017;0.170;0.018;0.006;0.059;0.035;0.153;0.088;0.059;0.000;0.026;0.018;0.004;0.001;0.015;0.004;0.033;0.001;0.006;0.014;0.005;0.006
Bojonegoro;0.057;0.006;0.013;0.220;0.016;0.002;0.080;0.006;0.110;0.071;0.105;0.001;0.006;0.014;0.002;0.003;0.017;0.008;0.025;0.002;0.01;0.005;0.008;0.013
Tuban;0.057;0.001;0.015;0.194;0.020;0.003;0.053;0.008;0.108;0.045;0.080;0.002;0.008;0.012;0.007;0.001;0.012;0.015;0.043;0.001;0.018;0.006;0.013;0.014
Lamongan;0.061;;0.011;0.161;0.018;0.005;0.067;0.004;0.126;0.051;0.047;0.007;0.020;0.008;0.004;0.004;0.019;0.015;0.046;0.001;0.025;0.006;0.013;0.008
Gresik;0.070;0.001;0.013;0.122;0.023;0.018;0.058;0.018;0.125;0.087;0.083;0.003;0.047;0.009;0.011;0.002;0.005;0.012;0.033;0.001;0.015;0.004;0.01;0.008
Bangkalan;0.041;0.004;0.008;0.213;0.012;0.005;0.047;0.009;0.060;0.062;0.019;0.000;0.017;0.002;0.008;0.003;0.001;0.002;0.021;0.000;0.002;0.002;0.002;0.004
Sampang;0.013;0.000;0.004;0.166;0.005;0.002;0.044;0.003;0.070;0.017;0.008;0.000;0.009;0.004;0.001;0.000;0.001;0.002;0.019;0.000;0.001;0.004;0.004;0.009
Pamekasan;0.040;0.002;0.012;0.105;0.008;0.012;0.058;0.011;0.090;0.067;0.015;0.004;0.024;0.008;0.001;0.001;0.002;0.009;0.029;0.000;0.007;0.002;0.012;0.012
Sumenep;0.045;0.006;0.014;0.102;0.012;0.007;0.057;0.029;0.122;0.101;0.011;0.002;0.025;0.011;0.011;0.005;0.003;0.015;0.057;0.003;0.003;0.002;0.007;0.013
Kota Kediri;0.033;0.001;0.022;0.068;0.011;0.005;0.041;0.044;0.094;0.087;0.060;0.002;0.058;0.007;0.012;0.002;0.020;0.006;0.063;0.000;0.018;0.001;0.004;0.007
Kota Blitar;0.041;0.005;0.035;0.030;0.003;0.027;0.052;0.070;0.084;0.116;0.068;0.003;0.108;0.018;0.009;0.009;0.037;0.015;0.054;0.001;0.019;0.003;0.006;0.014
Kota Malang;0.049;0.001;0.032;0.091;0.010;0.004;0.047;0.075;0.101;0.130;0.096;0.005;0.071;0.016;0.007;0.003;0.014;0.011;0.057;0.001;0.015;0.002;0.004;0.009
Kota Probolinggo;0.026;0.001;0.017;0.067;0.048;0.009;0.092;0.007;0.116;0.065;0.033;0.000;0.089;0.009;0.006;0.001;0.005;0.007;0.019;0.002;0.022;0.009;0.004;0.012
Kota Pasuruan;0.033;;0.012;0.087;0.013;0.044;0.068;0.036;0.149;0.054;0.024;0.003;0.096;0.007;0.003;0.006;0.005;0.010;0.048;0.001;0.008;0.002;0.005;0.007
Kota Mojokerto;0.045;0.001;0.024;0.058;0.028;0.013;0.048;0.053;0.152;0.107;0.050;0.005;0.066;0.004;0.014;0.003;0.008;0.015;0.040;0.003;0.012;0.004;0.014;0.002
Kota Madiun;0.083;0.000;0.026;0.099;0.018;0.011;0.039;0.040;0.145;0.119;0.052;0.005;0.045;0.010;0.007;0.002;0.014;0.009;0.021;0.001;0.011;0.004;0.003;0.016
Kota Surabaya;0.072;0.003;0.030;0.118;0.036;0.016;0.057;0.034;0.101;0.115;0.086;0.012;0.066;0.005;0.019;0.005;0.023;0.022;0.039;0.001;0.036;0.014;0.023;0.016
Kota Batu;0.058;0.005;0.023;0.121;0.004;0.006;0.024;0.083;0.088;0.112;0.040;0.001;0.067;0.012;0.004;0.005;0.023;0.004;0.027;0.001;0.025;0.001;0.003;0.008
Pandeglang;0.054;0.006;0.004;0.261;0.053;0.024;0.041;0.030;0.096;0.047;0.016;0.000;0.007;0.007;0.002;0.004;0.004;0.004;0.008;0.003;0.004;0.002;0.008;0.009
Lebak;0.059;0.004;0.006;0.244;0.128;0.055;0.044;0.063;0.221;0.048;0.023;0.013;0.004;0.007;0.010;0.005;0.001;0.005;0.006;0.005;0.007;0.025;0.006;0.021
Tangerang;0.057;0.012;0.007;0.133;0.100;0.014;0.026;0.026;0.055;0.065;0.021;0.002;0.014;0.007;0.003;0.002;0.008;0.014;0.033;0.002;0.01;0.003;0.006;0.004
Serang;0.069;0.001;0.009;0.206;0.103;0.021;0.040;0.022;0.060;0.041;0.018;0.004;0.010;0.006;0.000;0.001;0.008;0.010;0.016;0.001;0.009;0.002;0.006;0.018
Kota Tangerang;0.098;0.008;0.027;0.097;0.082;0.006;0.023;0.081;0.057;0.149;0.038;0.004;0.038;0.008;0.004;;0.015;0.010;0.049;0.003;0.015;0.021;0.007;0.003
Kota Cilegon;0.065;0.009;0.012;0.197;0.098;0.040;0.041;0.027;0.059;0.046;0.050;0.014;0.017;0.006;0.001;0.001;0.020;0.009;0.036;0.003;0.015;0.007;0.011;0.007
Kota Serang;0.056;0.004;0.010;0.303;0.055;0.034;0.052;0.033;0.057;0.044;0.021;0.004;0.010;0.002;0.002;0.001;0.010;0.005;0.017;0.001;0.014;0.01;0.01;0.015
Kota Tangerang Selatan;0.098;0.015;0.033;0.083;0.089;0.006;0.033;0.077;0.038;0.132;0.046;0.002;0.029;0.011;0.003;0.001;0.020;0.016;0.035;0.001;0.017;0.011;0.006;0.01
Jembrana;0.077;0.002;0.048;0.011;0.006;0.013;0.068;0.011;0.187;0.096;0.036;0.003;0.023;0.005;0.007;0.005;0.016;0.050;0.039;0.002;0.002;0.01;0.01;0.006
Tabanan;0.101;0.016;0.045;0.044;0.003;0.025;0.053;0.042;0.129;0.087;0.030;0.003;0.024;0.014;0.006;0.006;0.010;0.007;0.029;0.001;0.008;0.024;0.002;0.004
Badung;0.093;0.016;0.040;0.059;0.005;0.019;0.043;0.037;0.096;0.118;0.043;0.007;0.031;0.007;0.006;0.006;0.013;0.022;0.033;0.002;0.014;0.006;0.008;
Gianyar;0.121;0.011;0.075;0.102;0.001;0.008;0.115;0.079;0.193;0.053;0.037;0.011;0.016;0.009;0.007;0.001;0.020;0.046;0.058;0.003;0.004;0.041;0.009;0.001
Klungkung;0.157;0.015;0.095;0.083;0.001;0.002;0.119;0.036;0.245;0.044;0.013;0.002;0.002;0.006;0.001;0.002;0.030;0.043;0.027;0.002;0.001;0.039;0.004;0.013
Bangli;0.139;0.019;0.067;0.069;0.001;0.015;0.091;0.063;0.193;0.068;0.022;0.001;0.024;0.006;0.006;0.025;0.023;0.021;0.026;0.002;0.003;0.028;0.01;0.004
Karangasem;0.079;0.002;0.044;0.047;0.007;0.033;0.095;0.020;0.162;0.036;0.006;0.016;0.006;0.002;0.002;0.003;0.012;0.017;0.020;;;0.018;0.006;0.007
Buleleng;0.068;0.015;0.049;0.103;0.001;0.040;0.064;0.011;0.184;0.060;0.018;0.004;0.015;0.001;0.006;0.004;0.012;0.026;0.024;0.003;0.002;0.055;0.007;0.006
Kota Denpasar;0.063;0.006;0.042;0.032;0.002;0.010;0.028;0.071;0.058;0.138;0.072;0.004;0.016;0.007;0.006;0.001;0.012;0.008;0.018;0.000;0.008;0.006;0.003;0
Lombok Barat;0.039;0.002;0.022;0.103;0.013;0.034;0.047;0.011;0.109;0.079;0.018;0.001;0.034;0.007;0.006;0.009;0.016;0.008;0.022;0.003;0.002;0.01;0.013;0.019
Lombok Tengah;0.050;0.002;0.027;0.067;0.007;0.017;0.095;0.026;0.090;0.064;0.007;;0.037;0.010;0.003;0.007;0.013;0.010;0.031;0.001;0.002;0.004;0.014;0.023
Lombok Timur;0.070;0.005;0.034;0.100;0.010;0.019;0.098;0.039;0.117;0.120;0.019;0.001;0.097;0.007;0.011;0.008;0.017;0.015;0.032;0.002;0.001;0.003;0.022;0.025
Sumbawa;0.042;0.004;0.032;0.050;0.006;0.015;0.040;0.012;0.114;0.038;0.008;0.000;0.044;0.010;0.005;0.003;0.016;0.018;0.052;;0.004;0.003;0.009;0.025
Dompu;0.024;0.004;0.028;0.043;0.003;0.020;0.064;0.007;0.077;0.051;0.012;0.000;0.024;0.008;0.000;0.002;0.006;0.012;0.018;0.000;;0.002;0.005;0.016
